Regional;Distrito;Centros;Sector;Nivel;Coordenadas Latitud;Coordenadas Longitud;Matricula;Planta Fisica;Provincia;Municipio;Año
10 - SANTO DOMINGO;1005 - BOCA CHICA;14988 - BELGICA ADELA MIRABAL REYES - DOÑA DEDE;PÚBLICO;INICIAL - PRIMARIO;18.454939,;-69.632351;823;32047060 - BELGICA ADELA MIRABAL;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;15097 - COLOMBINA CASTRO;PÚBLICO;INICIAL - PRIMARIO;18.466608,;-69.606137;654;32045649 - COLOMBINA CASTRO;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;15117 - FRANCISCO ALBERTO CAAMAÑO DEÑO;PÚBLICO;SECUNDARIO;18.4455,-6;9.6356;558;01145715 - VITALINA MORDAN DE LA CRUZ;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;15156 - PROF. ERCILIA PEPIN ESTRELLA;PÚBLICO;ADULTOS;18.465600,;-69.68909;295;32043093 - EL GRAN VALIENTE;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;15312 - CENTRO EDUCATIVO PSICOPEDAGOGICO PEREZ RIVERA;PRIVADO;INICIAL - PRIMARIO;18.456963,;-69.604176;131;32013497 - CENTRO EDUCATIVO PSICOPEDAGOGICO PEREZ RIVERA;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;15380 - ELIM CENTRO PEDAGOGICO;PRIVADO;INICIAL - PRIMARIO;18.454576,;-69.612191;46;32039718 - ELIM CENTRO PEDAGOGICO;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;15491 - DR. JOSE FRANCISCO PEÑA GOMEZ;PÚBLICO;SECUNDARIO;18.452781,;-69.637376;1062;32048428 - DR. JOSE FRANCISCO PEÑA GOMEZ;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;15493 - CENTRO EDUCATIVO ALTAMICA;PRIVADO;INICIAL - PRIMARIO;,;;320;32056261 - CENTRO EDUCATIVO ALTAMICA;SANTO DOMINGO;SAN ANTONIO DE GUERRA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;15496 - PROF. JUAN TAYLOR VENTURA;PÚBLICO;INICIAL - PRIMARIO - SECUNDARIO;18.454586,;-69.658839;813;32045632 - PROF. JUAN TAYLOR VENTURA;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;15528 - PATRIA MIRABAL;PÚBLICO;SECUNDARIO;18.481529,;-69.695142;650;32048468 - PATRIA MIRABAL;SANTO DOMINGO;BOCA CHICA;20232024
